Address,City,County,Id,License,State,Structure Type,Latitude,Longitude,Structure
3481 Cooke Peak Road   (9559),LAKE ISABELLA,KERN,5186,AT&T,CA,LTOWER,35.6225,-118.438611111,36.6
FRASIER MOUNTAIN   (48223),FRAZIER PARK,VENTURA,5185,AT&T,CA,GTOWER,34.774222222,-118.9685,36
7250 60 REWARD ROAD   (51023),MCKITTRICK,KERN,5184,AT&T,CA,LTOWER,35.326027778,-119.717611111,16.2
36753 Randsburg Loop  (11660),Johannesburg,KERN,5183,AT&T,CA,LTOWER,35.362722222,-117.640861111,78
481 Laurel Street    (11655),Rosamond,KERN,5182,AT&T,CA,LTOWER,34.8275,-118.171305556,59.7
185TH STREETE AVE E   (24315),LANCASTER,LOS ANGELES,5181,AT&T,CA,LTOWER,34.760055556,-117.799444444,16.5
4854 HWY 395   (50847),RIDGECREST,KERN,5179,AT&T,CA,LTOWER,35.540527778,-117.684472222,36.9
Coyote Wells Site 272 W. Evan Hewes Hwy (Coyote Wells #40520),Ocotillo,IMPERIAL,6926,Verizon,CA,TOWER,32.740805556,-115.973833333,65.5
Salton Sea: 2119 Mars Avenue,Salton Sea,IMPERIAL,6925,Verizon,CA,TOWER,33.281861111,-115.928472222,60.7
North Salton: 3842 Scott Drive,Thermal,IMPERIAL,6924,Verizon,CA,TOWER,33.407361111,-116.045527778,60.1
Niland: BEAL RD 1 MI E,NILAND,IMPERIAL,6923,Verizon,CA,TOWER,33.242777778,-115.501388889,60
(Chocolate Mtn) 4210 Black Mountain Rd.,Palo Verde,IMPERIAL,6921,Verizon,CA,LTOWER,33.05575,-114.829638889,52.2
698 ROSS AVE,El Centro,IMPERIAL,6920,Verizon,CA,TOWER,32.782222222,-115.5325,89
Superstition Mtn 3000 Imler Rd,Brawley,IMPERIAL,6918,Verizon,CA,TOWER,32.958388889,-115.838944444,19.5
Ogliby Site 4324 Center of the World Drive (Ogilby #40748),Winterhaven,IMPERIAL,6915,Verizon,CA,TOWER,32.763472222,-114.838166667,96.9
22970 HWY 17 (24221),LOS GATOS,SANTA CRUZ,181,AT&T,CA,MTOWER,37.133972222,-121.98125,24.7
BIG HILL STATION ROAD  (9900),El Dorado,EL DORADO,1617,AT&T,CA,LTOWER,38.842222222,-120.406805556,38.4
7731 TAMARACK PINES  (85282),TWIN BRIDGES,EL DORADO,1618,AT&T,CA,MTOWER,38.804388889,-120.101638889,32.3
4467 HWY 395   (47893),Inyokern,KERN,5177,AT&T,CA,MTOWER,35.701666667,-117.870277778,39.6
2480 HWY 64   (47860),WASCO,KERN,5176,AT&T,CA,MTOWER,35.601527778,-119.522583333,48.8
HWY 33.6 MILES NORTH OF HWY 46   (48552),LOST HILLS,KERN,5175,AT&T,CA,MTOWER,35.688888889,-119.918722222,32
15526 TWISSLEMAN RD   (48900),LOST HILLS,KERN,5174,AT&T,CA,MTOWER,35.733638889,-119.946222222,32
SW INTERSECTION OF HWY 65 NEAR 155   (24248),DELANO,KERN,5173,AT&T,CA,LTOWER,35.753027778,-119.058777778,41.8
6780 Tower Road  (9906),Mount Aukum,EL DORADO,1622,AT&T,CA,LTOWER,38.573944444,-120.726944444,13.1
3641 HIghway 49  (47599),Cool,EL DORADO,1623,AT&T,CA,MTOWER,38.863861111,-121.016361111,23.5
6170 South Shingle Road  (48497),Shingle Springs,EL DORADO,1624,AT&T,CA,MTOWER,38.598,-120.9625,32.9
7101 Wilson Avenue  (24136),Tahoma,EL DORADO,1625,AT&T,CA,MTOWER,39.065111111,-120.127333333,38.1
Park Creek Road  (9897),POLLACK PINES,EL DORADO,1627,AT&T,CA,LTOWER,38.756444444,-120.554611111,54.9
BIG HILL STATION ROAD  (9900),El Dorado,EL DORADO,1628,AT&T,CA,LTOWER,38.842222222,-120.406805556,38.4
7731 TAMARACK PINES  (85282),TWIN BRIDGES,EL DORADO,1629,AT&T,CA,MTOWER,38.804388889,-120.101638889,32.3
6780 Tower Road  (9906),Mount Aukum,EL DORADO,1633,AT&T,CA,LTOWER,38.573944444,-120.726944444,13.1
20192 TWISSELMAN ROAD   (24247),Lost Hills,KERN,5172,AT&T,CA,LTOWER,35.734055556,-119.734777778,56.4
23780 El Rancho Road   (9523),TEHACHAPI,KERN,5171,AT&T,CA,LTOWER,35.163555556,-118.579777778,16.2
1023 METTLER AVE   (9517),DELANO,KERN,5170,AT&T,CA,LTOWER,35.765555556,-119.288916667,86
3641 HIghway 49  (47599),Cool,EL DORADO,1634,AT&T,CA,MTOWER,38.863861111,-121.016361111,23.5
6170 South Shingle Road  (48497),Shingle Springs,EL DORADO,1635,AT&T,CA,MTOWER,38.598,-120.9625,32.9
7101 Wilson Avenue  (24136),Tahoma,EL DORADO,1636,AT&T,CA,MTOWER,39.065111111,-120.127333333,38.1
3481 Cooke Peak Road   (9559),LAKE ISABELLA,KERN,5169,AT&T,CA,LTOWER,35.6225,-118.438611111,36.6
FRASIER MOUNTAIN   (48223),FRAZIER PARK,VENTURA,5168,AT&T,CA,GTOWER,34.774222222,-118.9685,36
7250 60 REWARD ROAD   (51023),MCKITTRICK,KERN,5167,AT&T,CA,LTOWER,35.326027778,-119.717611111,16.2
36753 Randsburg Loop  (11660),Johannesburg,KERN,5166,AT&T,CA,LTOWER,35.362722222,-117.640861111,78
481 Laurel Street    (11655),Rosamond,KERN,5165,AT&T,CA,LTOWER,34.8275,-118.171305556,59.7
185TH STREETE AVE E   (24315),LANCASTER,LOS ANGELES,5164,AT&T,CA,LTOWER,34.760055556,-117.799444444,16.5
4854 HWY 395   (50847),RIDGECREST,KERN,5162,AT&T,CA,LTOWER,35.540527778,-117.684472222,36.9
4467 HWY 395   (47893),Inyokern,KERN,5160,AT&T,CA,MTOWER,35.701666667,-117.870277778,39.6
2480 HWY 64   (47860),WASCO,KERN,5159,AT&T,CA,MTOWER,35.601527778,-119.522583333,48.8
HWY 33.6 MILES NORTH OF HWY 46   (48552),LOST HILLS,KERN,5158,AT&T,CA,MTOWER,35.688888889,-119.918722222,32
15526 TWISSLEMAN RD   (48900),LOST HILLS,KERN,5157,AT&T,CA,MTOWER,35.733638889,-119.946222222,32
SW INTERSECTION OF HWY 65 NEAR 155   (24248),DELANO,KERN,5156,AT&T,CA,LTOWER,35.753027778,-119.058777778,41.8
20192 TWISSELMAN ROAD   (24247),Lost Hills,KERN,5155,AT&T,CA,LTOWER,35.734055556,-119.734777778,56.4
"NW 1/4 SE 1/4 Section 1, Township 17 S, Range 16 E",BONDS CORNER,IMPERIAL,6914,Verizon,CA,TOWER,32.699444444,-115.281111111,64.9
El Centro Site 1900 Highway 111,EL CENTRO,IMPERIAL,6912,Verizon,CA,TOWER,32.795833333,-115.498888889,79.2
23780 El Rancho Road   (9523),TEHACHAPI,KERN,5154,AT&T,CA,LTOWER,35.163555556,-118.579777778,16.2
3662 EAST MISSION ROAD,FALLBROOK,SAN DIEGO,29986,AT&T,CA,LTOWER,33.400027778,-117.190861111,13.1
LAKE MORENA DRIVE,PINE VALLEY,SAN DIEGO,29987,AT&T,CA,LTOWER,32.734694444,-116.577777778,14.6
10965 SUNRISE HIGHWAY,MOUNT LAGUNA,SAN DIEGO,29988,AT&T,CA,LTOWER,32.892,-116.419611111,27.7
5000 A OLD EL CAMINO REAL,CAMP PENDLETON,SAN DIEGO,29989,AT&T,CA,LTOWER,33.354444444,-117.524,14
61600 DEVIL LADDER,MOUNTAIN CENTER,RIVERSIDE,29991,AT&T,CA,MTOWER,33.596666667,-116.593333333,13.7
2 MILES SOUTHWEST OF CACTUS CITY,DESERT CENTER,RIVERSIDE,29992,AT&T,CA,MTOWER,33.655083333,-115.986138889,30.5
35469 STATE ROUTE 79,Warner Springs,SAN DIEGO,29994,AT&T,CA,MTOWER,33.357722222,-116.741277778,15.2
3033 NORTH RAINBOW VALLEY ROAD,FALLBROOK,SAN DIEGO,29995,AT&T,CA,MTOWER,33.426416667,-117.146194444,19.2
CAPAT ROAD 165 TO ROAD 85,Dunningan,YOLO,5048,AT&T,CA,MTOWER,38.788833333,-122.121833333,21
5330 Highway 45,Princeton,COLUSA,5047,AT&T,CA,MTOWER,39.390138889,-122.013416667,38.1
26607 South Ave,Vina,TEHAMA,5046,AT&T,CA,LTOWER,39.922472222,-122.041277778,61
770 COLLEGE CITY ROAD AND FRIEL ROAD,College City,COLUSA,5045,AT&T,CA,LTOWER,38.9915,-122.007416667,56.7
20160 BOWMAN ROAD,COTTONWOOD,TEHAMA,5044,AT&T,CA,LTOWER,40.37275,-122.285472222,50
ROAD Z 13 MILES WEST/NORTHWEST OF BIGGS,BUTTE CITY,GLENN,5043,AT&T,CA,GTOWER,39.478555556,-121.939111111,64.6
HIGHWAY 45 AND ROAD 23,HAMILTON,GLENN,5042,AT&T,CA,GTOWER,39.712166667,-122.002722222,65.5
TURNER MOUNTAIN LOOKOUT,TEHAMA,TEHAMA,5041,AT&T,CA,MTOWER,40.299138889,-121.617611111,25.3
7207 MOONBEND ROAD,COLUSA,COLUSA,5040,AT&T,CA,LTOWER,39.196833333,-121.997861111,58.8
CAPAT ROAD 165 TO ROAD 85,Dunningan,YOLO,5039,AT&T,CA,MTOWER,38.788833333,-122.121833333,21
GRAPEVINE PASS ROAD/LADOGA AND STONEYFORD,Stonyford,COLUSA,5038,AT&T,CA,LTOWER,39.350194444,-122.457388889,35.4
TOP OF RED MOUNTAIN,ORLAND,GLENN,5037,AT&T,CA,LTOWER,39.742472222,-122.609611111,25.9
25255 Highway 36,RED BLUFF,TEHAMA,5036,AT&T,CA,LTOWER,40.262611111,-122.095194444,20.4
HUFFMASTER ROAD,Storyford,COLUSA,5035,AT&T,CA,LTOWER,39.287472222,-122.334444444,18.9
CAPAT ROAD 165 TO ROAD 85,Dunningan,YOLO,5034,AT&T,CA,MTOWER,38.788833333,-122.121833333,21
5330 Highway 45,Princeton,COLUSA,5033,AT&T,CA,MTOWER,39.390138889,-122.013416667,38.1
26607 South Ave,Vina,TEHAMA,5032,AT&T,CA,LTOWER,39.922472222,-122.041277778,61
770 COLLEGE CITY ROAD AND FRIEL ROAD,College City,COLUSA,5031,AT&T,CA,LTOWER,38.9915,-122.007416667,56.7
20160 BOWMAN ROAD,COTTONWOOD,TEHAMA,5030,AT&T,CA,LTOWER,40.37275,-122.285472222,50
ROAD Z 13 MILES WEST/NORTHWEST OF BIGGS,BUTTE CITY,GLENN,5029,AT&T,CA,GTOWER,39.478555556,-121.939111111,64.6
HIGHWAY 45 AND ROAD 23,HAMILTON,GLENN,5028,AT&T,CA,GTOWER,39.712166667,-122.002722222,65.5
TURNER MOUNTAIN LOOKOUT,TEHAMA,TEHAMA,5027,AT&T,CA,MTOWER,40.299138889,-121.617611111,25.3
7207 MOONBEND ROAD,COLUSA,COLUSA,5026,AT&T,CA,LTOWER,39.196833333,-121.997861111,58.8
CAPAT ROAD 165 TO ROAD 85,Dunningan,YOLO,5025,AT&T,CA,MTOWER,38.788833333,-122.121833333,21
GRAPEVINE PASS ROAD/LADOGA AND STONEYFORD,Stonyford,COLUSA,5024,AT&T,CA,LTOWER,39.350194444,-122.457388889,35.4
TOP OF RED MOUNTAIN,ORLAND,GLENN,5023,AT&T,CA,LTOWER,39.742472222,-122.609611111,25.9
25255 Highway 36,RED BLUFF,TEHAMA,5022,AT&T,CA,LTOWER,40.262611111,-122.095194444,20.4
HUFFMASTER ROAD,Storyford,COLUSA,5021,AT&T,CA,LTOWER,39.287472222,-122.334444444,18.9
AKRON TOWER CAMP PENDLETON MARINE CORPORATION SD137,San Diego,SAN DIEGO,29996,AT&T,CA,MTOWER,33.307388889,-117.324416667,17.7
BASILONE ROAD,CAMP PENDLETON,SAN DIEGO,29997,AT&T,CA,MTOWER,33.348194444,-117.391861111,12.5
TIERRA DEL SOL ROAD,BOULEVARD,SAN DIEGO,29998,AT&T,CA,LTOWER,32.646916667,-116.317888889,16.5
CAMP PENDLETON,OCEANSIDE,SAN DIEGO,29999,AT&T,CA,LTOWER,33.415916667,-117.52475,61.9
1800 Golden Acorn Way,Campo,SAN DIEGO,30000,AT&T,CA,MTOWER,32.699916667,-116.35225,45.7
1800 Golden Acorn Way,Campo,SAN DIEGO,30019,AT&T,CA,MTOWER,32.699916667,-116.35225,45.7
"220 ""A"" Olympic Parkway",Chula Vista,SAN DIEGO,30022,AT&T,CA,GTOWER,32.625277778,-116.970722222,18.3
14551 OTAY LAKES ROAD,JAMUL,SAN DIEGO,30023,AT&T,CA,LTOWER,32.604444444,-116.841555556,36.3
HIGHWAY 269 AND SKYLINE ROAD (9662),Avenal,KINGS,4956,AT&T,CA,LTOWER,36.029444444,-120.104638889,37.5
HIGHWAY 269 AND SKYLINE ROAD (9662),Avenal,KINGS,4945,AT&T,CA,LTOWER,36.029444444,-120.104638889,37.5
1.5 Miles up Highlands Lake Road off Gibson Road   (134476),Lakeland,SHASTA,4822,AT&T,CA,LTOWER,41.029,-122.410194444,56.7
25255 Highway 36  (9971),Red Bluff,TEHAMA,4819,AT&T,CA,LTOWER,40.262611111,-122.095194444,20.4
HATCHET MOUNTAIN ROAD  (9982),MONTGOMERY CREEK,SHASTA,4818,AT&T,CA,LTOWER,40.874416667,-121.772333333,32
SOUTH FORK MOUNTAIN/HWY 299 WEST  (14876),WHISKEYTOWN,SHASTA,4817,AT&T,CA,LTOWER,40.651555556,-122.526388889,41.2
HWY 44/ FALL RIVER MILLS AREA  (14399),REDDING,SHASTA,4816,AT&T,CA,MTOWER,41.003611111,-121.48225,23.5
HWY 44 USF RD 31N94 ACCESS RD  (14618),Shingletown,SHASTA,4815,AT&T,CA,LTOWER,40.558972222,-121.563638889,42.4
1.5 Miles up Highlands Lake Road off Gibson Road   (134476),Lakeland,SHASTA,4813,AT&T,CA,LTOWER,41.029,-122.410194444,56.7
25255 Highway 36  (9971),Red Bluff,TEHAMA,4810,AT&T,CA,LTOWER,40.262611111,-122.095194444,20.4
HATCHET MOUNTAIN ROAD  (9982),MONTGOMERY CREEK,SHASTA,4809,AT&T,CA,LTOWER,40.874416667,-121.772333333,32
SOUTH FORK MOUNTAIN/HWY 299 WEST  (14876),WHISKEYTOWN,SHASTA,4808,AT&T,CA,LTOWER,40.651555556,-122.526388889,41.2
HWY 44/ FALL RIVER MILLS AREA  (14399),REDDING,SHASTA,4807,AT&T,CA,MTOWER,41.003611111,-121.48225,23.5
HWY 44 USF RD 31N94 ACCESS RD  (14618),Shingletown,SHASTA,4806,AT&T,CA,LTOWER,40.558972222,-121.563638889,42.4
7785 S. Highway 1   (50907),Lompoc,SANTA BARBARA,4732,AT&T,CA,MTOWER,34.524361111,-120.290277778,15.2
1952 ROEMER CT   (12575),Santa Maria,SANTA BARBARA,4731,AT&T,CA,MTOWER,34.977166667,-120.432083333,23.8
Lee Road - Bldg 22104   (48775),Lompoc,SANTA BARBARA,4729,AT&T,CA,MTOWER,34.7895,-120.503888889,19.2
1705 CASITAS VISTA ROAD   (12498),Ventura,VENTURA,4728,AT&T,CA,LTOWER,34.34925,-119.336333333,38.7
10151 Ocean View Road   (12497),La Conchita,VENTURA,4727,AT&T,CA,LTOWER,34.372833333,-119.421,34.7
MCPHERSON PK.   (12573),Santa Maria,SANTA BARBARA,4725,AT&T,CA,LTOWER,34.888388889,-119.813222222,22
10150 W CAMINO CIELO   (12552),SANTA YNEZ,SANTA BARBARA,4724,AT&T,CA,LTOWER,34.526583333,-119.972166667,25.3
MT. SOLOMON at HWY 101   (12551),SANTA MARIA,SANTA BARBARA,4723,AT&T,CA,LTOWER,34.834888889,-120.383361111,35.7
4675 Harris Grade Road   (12550),LOMPOC,SANTA BARBARA,4722,AT&T,CA,LTOWER,34.73875,-120.445666667,33.8
ANDERSON UNION HIGH SCHOOL,ANDERSON,SHASTA,31276,Verizon,CA,TOWER,40.442638889,-122.308055556,59.4
"Viola Relo Site TS 31N, R4E, SEC 7",Shingletown,SHASTA,31277,Verizon,CA,TOWER,40.55875,-121.563555556,42.7
3.5 MILES NORTHWEST OF,LAKESHORE,SHASTA,31278,Verizon,CA,TOWER,40.914027778,-122.445555556,31.7
15871 CENTRAL STREET (47647),Meridian,SUTTER,4678,AT&T,CA,MTOWER,39.145055556,-121.910138889,36
21448 CRANMORE ROAD (10010),KNIGHTS LANDING,SUTTER,4677,AT&T,CA,MTOWER,38.803611111,-121.721333333,32
8670 MCCLATCHY ROAD (10009),MERIDIAN,SUTTER,4676,AT&T,CA,LTOWER,39.102194444,-121.777,48.5
5330 Highway 45 (14607),Princeton,COLUSA,4674,AT&T,CA,MTOWER,39.390138889,-122.013416667,38.1
7207 MOONBEND ROAD (9976),COLUSA,COLUSA,4673,AT&T,CA,LTOWER,39.196833333,-121.997861111,58.8
400 COWEE AVENUE (9887),GRIDLEY,BUTTE,4672,AT&T,CA,LTOWER,39.322305556,-121.669666667,61.6
15358 OREGON HILL (10005),Dobbins,YUBA,4671,AT&T,CA,LTOWER,39.388611111,-121.177611111,64.9
1485 WEST CATLETT (10003),PLEASANT GROVE,SUTTER,4670,AT&T,CA,LTOWER,38.836222222,-121.563777778,50.6
5359 WALTZ ROAD (10002),LINCOLN,SUTTER,4669,AT&T,CA,LTOWER,38.940444444,-121.414916667,56.7
2200 EVERGLADE ROAD (10001),Yuba City,SUTTER,4668,AT&T,CA,MTOWER,38.980722222,-121.662138889,60
15871 CENTRAL STREET (47647),Meridian,SUTTER,4667,AT&T,CA,MTOWER,39.145055556,-121.910138889,36
21448 CRANMORE ROAD (10010),KNIGHTS LANDING,SUTTER,4666,AT&T,CA,MTOWER,38.803611111,-121.721333333,32
8670 MCCLATCHY ROAD (10009),MERIDIAN,SUTTER,4665,AT&T,CA,LTOWER,39.102194444,-121.777,48.5
4950 D STREET (10008),Marysville,YUBA,4664,AT&T,CA,MTOWER,39.095888889,-121.406027778,21
5330 Highway 45 (14607),Princeton,COLUSA,4663,AT&T,CA,MTOWER,39.390138889,-122.013416667,38.1
7207 MOONBEND ROAD (9976),COLUSA,COLUSA,4662,AT&T,CA,LTOWER,39.196833333,-121.997861111,58.8
400 COWEE AVENUE (9887),GRIDLEY,BUTTE,4661,AT&T,CA,LTOWER,39.322305556,-121.669666667,61.6
15358 OREGON HILL (10005),Dobbins,YUBA,4660,AT&T,CA,LTOWER,39.388611111,-121.177611111,64.9
1485 WEST CATLETT (10003),PLEASANT GROVE,SUTTER,4659,AT&T,CA,LTOWER,38.836222222,-121.563777778,50.6
5359 WALTZ ROAD (10002),LINCOLN,SUTTER,4658,AT&T,CA,LTOWER,38.940444444,-121.414916667,56.7
2200 EVERGLADE ROAD (10001),Yuba City,SUTTER,4657,AT&T,CA,MTOWER,38.980722222,-121.662138889,60
"GIRARD RIDGE, 5 MILES SOUTH OF",DUNSMUIR,SHASTA,31279,Verizon,CA,TOWER,41.126805556,-122.291944444,45.7
Shingletown Site 6914 Mobile Park Drive,Shingletown,SHASTA,31282,Verizon,CA,TOWER,40.488083333,-121.900833333,45.7
Whiskeytown-Shasta-Trinity,Whiskeytown,SHASTA,31284,Verizon,CA,TOWER,40.602972222,-122.650861111,31.1
(Chocolate Mtn) 4210 Black mtn Rd,Palo Verde,IMPERIAL,3307,Verizon,CA,LTOWER,33.05575,-114.829638889,52.2
(Jacumba Peak) I8 East / Carrizo Gorge Rd,Jacumba Peak,IMPERIAL,3306,Verizon,CA,LTOWER,32.633194444,-116.10175,24.4
51959 West Shields Avenue (105687),Mendota,FRESNO,19767,AT&T,CA,LTOWER,36.777055556,-120.728916667,57.6
25 Franks Drive (51620),Hollister,SAN BENITO,19768,AT&T,CA,MTOWER,36.816388889,-121.380777778,18.3
27400 Avenue 6 (9619),Madera,MADERA,19769,AT&T,CA,LTOWER,36.833722222,-120.053833333,52.7
2885 BAYHILL ROAD,BODEGA BAY,SONOMA,14984,Verizon,CA,TOWER,38.342138889,-123.021111111,36.6
(Seaside) 10805 Saddle Road,MONTEREY,MONTEREY,15028,Verizon,CA,LTOWER,36.5525,-121.789166667,65.8
TABLE MOUNTAIN IN LOS PADRES NATIONAL FOREST 30 MILES EAST OF,SAN ARDO,MONTEREY,15032,Verizon,CA,TOWER,35.926083333,-120.374583333,27.4
WHITE BARK VISTA (9633),YOSEMITE NATIONAL PA,FRESNO,19770,AT&T,CA,LTOWER,37.2945,-119.090166667,22.2
2370 WALNUT AVENUE (42574),LIVINGSTON,MERCED,19771,AT&T,CA,LTOWER,37.388,-120.709361111,61
18853 AMERICAN AVENUE (42585),HILMAR,MERCED,19772,AT&T,CA,LTOWER,37.411055556,-120.827555556,51.8
DEADWOOD PEAK (42588),Oakhurst,MADERA,19773,AT&T,CA,LTOWER,37.314,-119.684944444,41.4
285 THIRD STREET (42589),GUSTINE,MERCED,19774,AT&T,CA,LTOWER,37.257916667,-120.998111111,57.6
Highway 41 at Road 406 (43591),Madera,MADERA,19776,AT&T,CA,LTOWER,37.092722222,-119.750222222,46
9085 Feather Way (49027),Delhi,MERCED,19777,AT&T,CA,LTOWER,37.419944444,-120.756027778,45.7
10164 PACHECO PASS HIGHWAY (48418),HOLLISTER,SANTA CLARA,19779,AT&T,CA,LTOWER,37.008055556,-121.287722222,24.7
2657 EAST PACHECO BLVD (42573),LOS BANOS,MERCED,19780,AT&T,CA,LTOWER,37.05325,-120.811083333,60.4
NW 1/4 of the SE 1/4 of Section 3,PETALUMA,SONOMA,14978,Verizon,CA,TOWER,38.219694444,-122.616027778,29.2
25555 KELLY ROAD,Annapolis,SONOMA,14977,Verizon,CA,TOWER,38.73325,-123.289722222,74.9
1156 HIGH ST (24210),SANTA CRUZ,SANTA CRUZ,174,AT&T,CA,LTOWER,37.002666667,-122.052222222,42.1
49 Crow Rd (46635),CORRALITOS,SANTA CRUZ,175,AT&T,CA,MTOWER,36.977861111,-121.797638889,32
1253 Trabing Road (24213),Watsonville,SANTA CRUZ,177,AT&T,CA,MTOWER,36.94,-121.834277778,17.1
(Ogilby) 4324 Center of the World Drive   (Ogilby #40748),Winterhaven,IMPERIAL,3305,Verizon,CA,LTOWER,32.763472222,-114.838166667,96.9
(Niland) BEAL RD 1 MI E,NILAND,IMPERIAL,3304,Verizon,CA,LTOWER,33.242777778,-115.501388889,60
(Glamis) 4560 Green Road       (CA10502-A),Brawley,IMPERIAL,3302,Verizon,CA,LTOWER,32.981388889,-115.315833333,61.9
(North Salton) 3842 Scott Drive,Thermal,IMPERIAL,3301,Verizon,CA,LTOWER,33.407361111,-116.045527778,60.1
(Midway Wells) 4710 East Hwy 98,HOLTVILLE,IMPERIAL,3299,Verizon,CA,GTOWER,32.710388889,-115.063777778,89.9
(El Centro) 1990 Highway 111,EL CENTRO,IMPERIAL,3297,Verizon,CA,GTOWER,32.795861111,-115.498888889,79.3
(Chocolate Mtn) 4210 Black mtn Rd,Palo Verde,IMPERIAL,3296,Verizon,CA,LTOWER,33.05575,-114.829638889,52.2
(Jacumba Peak) I8 East / Carrizo Gorge Rd,Jacumba Peak,IMPERIAL,3295,Verizon,CA,LTOWER,32.633194444,-116.10175,24.4
CAMP PENDLETON,OCEANSIDE,SAN DIEGO,30018,AT&T,CA,LTOWER,33.415916667,-117.52475,61.9
TIERRA DEL SOL ROAD,BOULEVARD,SAN DIEGO,30017,AT&T,CA,LTOWER,32.646916667,-116.317888889,16.5
(Towaoc Site) Route 666 - 3.2 Miles Northeast of Towaoc,Towaoc,MONTEZUMA,42672,Verizon,CO,GTOWER,37.222222222,-108.670638889,57.9
Forest Road 711-12B (87344),Paonia,DELTA,17983,AT&T,CO,LTOWER,38.885361111,-107.540944444,28.6
40.2 KM E of Montrose (10343),FITZPATRICK MESA,GUNNISON,17984,AT&T,CO,LTOWER,38.396888889,-107.430222222,42.4
USFS TOWER FARM AT THE END OF BLUE RIDGE ROAD (87345),KREMMLING,GRAND,17986,AT&T,CO,LTOWER,39.927916667,-106.269916667,24.1
"Couty Road 316, 2 miles SE of Rifle (10349)",RIFLE,GARFIELD,17987,AT&T,CO,LTOWER,39.512972222,-107.748083333,15.5
5000 CR 335 (14642),NEW CASTLE,GARFIELD,17988,AT&T,CO,LTOWER,39.559055556,-107.429027778,28.6
MESA POINT MOUNTAIN (10315),Delta,DELTA,17990,AT&T,CO,MTOWER,38.87775,-108.226416667,23.5
3000 COUNTY RD 20 (10324),GLENWOOD SPRINGS,GARFIELD,17991,AT&T,CO,LTOWER,39.5435,-107.297638889,31.1
489-1/2 28 1/2 RD (10325),GRAND JUNCTION,MESA,17992,AT&T,CO,LTOWER,39.089277778,-108.227638889,32
11200 Skyline Drive (10376),Vail,EAGLE,17993,AT&T,CO,LTOWER,39.605416667,-106.358888889,44.8
3879 HIGHWAY 6 (10380),SILVER PLUME,CLEAR CREEK,17994,AT&T,CO,MTOWER,39.679972222,-105.899638889,23.8
397 M 8/10 Road (36175),MACK,MESA,17995,AT&T,CO,LTOWER,39.215694444,-108.971944444,57.3
6106 SOUTH BROOK FOREST ROAD (10287),EVERGREEN,JEFFERSON,17996,AT&T,CO,MTOWER,39.602305556,-105.333944444,11.9
1005 NORTH POPLAR STREET (108985),LEADVILLE,LAKE,17997,AT&T,CO,LTOWER,39.258944444,-106.390388889,24.1
405 AREGENTINE STREET (148589),GEORGETOWN,CLEAR CREEK,17998,AT&T,CO,MTOWER,39.706055556,-105.698666667,45.7
10 SUNFLOWER DRIVE (10334),Crested Butte,GUNNISON,17999,AT&T,CO,MTOWER,38.902138889,-106.973194444,12.8
3490 COUNTY RD 302 (10354),Parachute,GARFIELD,18001,AT&T,CO,LTOWER,39.442388889,-107.967666667,32
66266 FLAT TOP ROAD (10312),MONTROSE,MONTROSE,18002,AT&T,CO,LTOWER,38.516666667,-107.852777778,28
8624 TENDERFOOT MOUNTAIN (10335),Gunnison,GUNNISON,18003,AT&T,CO,MTOWER,38.527777778,-106.904944444,11.9
WATSON DIVIDE ROAD (10342),SNOWMASS,PITKIN,18005,AT&T,CO,GTOWER,39.316166667,-106.958944444,23.2
MONARCH PASS (42502),Salida,CHAFFEE,18006,AT&T,CO,LTOWER,38.49625,-106.318916667,39.9
Road 25 1/10 Road (41873),Gateway,MESA,18007,AT&T,CO,GTOWER,38.577777778,-108.646138889,25.9
BELLYACHE RIDGE ROAD (10336),Eagle,EAGLE,18008,AT&T,CO,LTOWER,39.655444444,-106.677972222,30.5
Forest Road 711-12B (87344),Paonia,DELTA,18009,AT&T,CO,LTOWER,38.885361111,-107.540944444,28.6
40.2 KM E of Montrose (10343),FITZPATRICK MESA,GUNNISON,18010,AT&T,CO,LTOWER,38.396888889,-107.430222222,42.4
USFS TOWER FARM AT THE END OF BLUE RIDGE ROAD (87345),KREMMLING,GRAND,18012,AT&T,CO,LTOWER,39.927916667,-106.269916667,24.1
"Couty Road 316, 2 miles SE of Rifle (10349)",RIFLE,GARFIELD,18013,AT&T,CO,LTOWER,39.512972222,-107.748083333,15.5
5000 CR 335 (14642),NEW CASTLE,GARFIELD,18014,AT&T,CO,LTOWER,39.559055556,-107.429027778,28.6
MESA POINT MOUNTAIN (10315),Delta,DELTA,18016,AT&T,CO,MTOWER,38.87775,-108.226416667,23.5
3000 COUNTY RD 20 (10324),GLENWOOD SPRINGS,GARFIELD,18017,AT&T,CO,LTOWER,39.5435,-107.297638889,31.1
489-1/2 28 1/2 RD (10325),GRAND JUNCTION,MESA,18018,AT&T,CO,LTOWER,39.089277778,-108.227638889,32
11200 Skyline Drive (10376),Vail,EAGLE,18019,AT&T,CO,LTOWER,39.605416667,-106.358888889,44.8
3879 HIGHWAY 6 (10380),SILVER PLUME,CLEAR CREEK,18020,AT&T,CO,MTOWER,39.679972222,-105.899638889,23.8
397 M 8/10 Road (36175),MACK,MESA,18021,AT&T,CO,LTOWER,39.215694444,-108.971944444,57.3
